Ticker,Date
AA,2025-01-01
AAL,2025-01-09
AAOI,2025-01-20
AAP,2025-02-17
AAPL,2025-04-18
ABBV,2025-05-26
ABNB,2025-06-19
ABR,2025-07-03
ABT,2025-07-04
ACHR,2025-09-01
ACI,2025-11-27
ACN,2025-11-28
ADBE,2025-12-24
ADI,2025-12-25
ADM,2026-01-01
ADP,2026-01-19
ADSK,2026-02-16
AEO,2026-04-03
AFL,2026-05-25
AFRM,2026-06-19
AG,2026-07-03
AGNC,2026-09-07
AI,2026-11-26
AIG,2026-12-25
AKAM,2027-01-01
ALAB,2027-01-18
ALB,2027-03-26
ALGN,2027-05-31
ALLY,2027-06-18
ALT,2027-07-05
AMAT,2027-09-06
AMBA,2027-11-25
AMC,2027-12-24
AMD,
AMGN,
AMZN,
ANET,
ANF,
ANVS,
APA,
APLD,
APO,
APP,
APT,
AR,
ARM,
ASAN,
ASML,
ASO,
ASPN,
ASTS,
AUR,
AVGO,
AXP,
AZN,
BA,
BABA,
BAC,
BAX,
BB,
BBAI,
BBWI,
BBY,
BE,
BEKE,
BHC,
BIDU,
BIIB,
BILI,
BILL,
BITF,
BK,
BKNG,
BLK,
BLNK,
BMBL,
BMY,
BP,
BSX,
BTBT,
BTDR,
BTU,
BUD,
BURL,
BX,
BYND,
BYON,
C,
CAG,
CAH,
CAN,
CAR,
CART,
CAT,
CAVA,
CBOE,
CC,
CCJ,
CCL,
CEG,
CELH,
CF,
CGC,
CHPT,
CHTR,
CHWY,
CI,
CIFR,
CL,
CLF,
CLMT,
CLOV,
CLS,
CLSK,
CMA,
CMCSA,
CMG,
CNC,
CNQ,
COF,
COHR,
COIN,
COP,
CORZ,
COST,
CPB,
CPNG,
CPRI,
CRH,
CRM,
CROX,
CRSP,
CRWD,
CSCO,
CSIQ,
CSX,
CTAS,
CTRA,
CVNA,
CVS,
CVX,
CZR,
DAL,
DASH,
DBX,
DD,
DDOG,
DE,
DECK,
DELL,
DFS,
DG,
DHI,
DHR,
DIS,
DJT,
DKNG,
DKS,
DLR,
DLTR,
DOCU,
DOW,
DPZ,
DQ,
DVN,
DXCM,
EBAY,
EBS,
EH,
EL,
ELF,
EMR,
ENPH,
ENVX,
EOG,
EOSE,
EPD,
EQT,
ET,
ETN,
ETSY,
EVGO,
EXPE,
F,
FANG,
FCEL,
FCX,
FDX,
FFAI,
FI,
FIS,
FL,
FOXA,
FSLR,
FSLY,
FTAI,
FTNT,
FUBO,
FUTU,
GAP,
GD,
GDDY,
GE,
GEHC,
GEO,
GEV,
GEVO,
GILD,
GLW,
GM,
GME,
GOLD,
GOOG,
GOOGL,
GOOS,
GRAB,
GRPN,
GRRR,
GS,
GSK,
GTLB,
HAL,
HD,
HE,
HES,
HIMS,
HIVE,
HL,
HLF,
HOG,
HON,
HOOD,
HPE,
HPQ,
HRL,
HSBC,
HSY,
HTZ,
HUM,
HUT,
HWM,
IBM,
IEP,
ILMN,
INO,
INTC,
INTU,
IONQ,
IOT,
IOVA,
IP,
IQ,
IRBT,
IREN,
IRM,
ISRG,
JBLU,
JD,
JMIA,
JNJ,
JOBY,
JPM,
JWN,
K,
KEY,
KGC,
KHC,
KKR,
KMB,
KMI,
KO,
KR,
KSS,
KULR,
KVUE,
LAC,
LAES,
LAZR,
LCID,
LEN,
LI,
LLY,
LMND,
LMT,
LOW,
LRCX,
LULU,
LUMN,
LUNR,
LUV,
LVS,
LYFT,
M,
MA,
MANU,
MAR,
MARA,
MBLY,
MCD,
MCHP,
MCK,
MDB,
MDLZ,
MDT,
MELI,
META,
MGM,
MLCO,
MMM,
MNKD,
MNST,
MO,
MOS,
MPC,
MPW,
MRK,
MRNA,
MRVL,
MS,
MSFT,
MSTR,
MT,
MTCH,
MU,
MVIS,
NAK,
NBIS,
NCLH,
NEE,
NEM,
NET,
NFE,
NFLX,
NIO,
NKE,
NLY,
NNE,
NOK,
NOW,
NSC,
NTAP,
NTES,
NTR,
NU,
NUE,
NVAX,
NVDA,
NVO,
NXPI,
OKLO,
OKTA,
OMEX,
ON,
ONON,
OPEN,
ORCL,
OXY,
PAA,
PAAS,
PANW,
PARA,
PATH,
PBI,
PBR,
PCG,
PCT,
PDD,
PENN,
PEP,
PFE,
PG,
PGR,
PHM,
PINS,
PLCE,
PLTR,
PLUG,
PM,
PNC,
POET,
PPG,
PSQH,
PSX,
PTON,
PYPL,
QBTS,
QCOM,
QS,
QSI,
QUBT,
RBLX,
RCAT,
RCL,
RDDT,
RDFN,
REGN,
RGTI,
RH,
RIG,
RILY,
RIOT,
RIVN,
RKLB,
RKT,
RNG,
ROKU,
ROST,
RTX,
RUM,
RUN,
RXRX,
S,
SAVA,
SBUX,
SCHW,
SE,
SEDG,
SERV,
SFIX,
SHAK,
SHEL,
SHOP,
SIG,
SIRI,
SKYT,
SLB,
SMCI,
SMMT,
SMR,
SNAP,
SNDL,
SNOW,
SNV,
SO,
SOFI,
SONY,
SOUN,
SPCE,
SPGI,
SPOT,
SPR,
SRPT,
STLA,
STNE,
STX,
STZ,
SU,
SWTX,
SYM,
T,
TAL,
TDOC,
TEAM,
TECK,
TEM,
TEVA,
TFC,
TGT,
TGTX,
TIGR,
TJX,
TLRY,
TMO,
TMUS,
TOL,
TOST,
TPR,
TRIP,
TSCO,
TSLA,
TSM,
TTD,
TTWO,
TWLO,
TXN,
TXRH,
U,
UAL,
UBER,
UBS,
UEC,
ULTA,
UNH,
UNP,
UPS,
UPST,
URBN,
URI,
USB,
UWMC,
V,
VALE,
VERU,
VFC,
VFS,
VKTX,
VLO,
VOD,
VRT,
VRTX,
VST,
VZ,
W,
WB,
WBA,
WBD,
WDAY,
WDC,
WFC,
WGS,
WKHS,
WMB,
WMT,
WOLF,
WPM,
WULF,
WYNN,
X,
XOM,
XP,
XPEV,
XYZ,
Z,
ZETA,
ZI,
ZIM,
ZM,
ZS,